,public,name,url
65,True,KorJeongHyeonLee/cuda,https://api.github.com/repos/KorJeongHyeonLee/cuda
66,True,LukeMcCulloch/cpp-cuda-flow-solver-1,https://api.github.com/repos/LukeMcCulloch/cpp-cuda-flow-solver-1
67,True,keatina3/cuda_exponential_integrals,https://api.github.com/repos/keatina3/cuda_exponential_integrals
68,True,alexminnaar/cuda_convolutions,https://api.github.com/repos/alexminnaar/cuda_convolutions
69,True,ucudal/pii_2019_equipo2,https://api.github.com/repos/ucudal/pii_2019_equipo2
70,True,pradeepisro/CUDA_to_ISPC,https://api.github.com/repos/pradeepisro/CUDA_to_ISPC
71,True,dilushaj/CUDA-NJ,https://api.github.com/repos/dilushaj/CUDA-NJ
72,True,efberrio/cuda,https://api.github.com/repos/efberrio/cuda
73,True,magenta-cuda/rrr-gallery,https://api.github.com/repos/magenta-cuda/rrr-gallery
74,True,JuliaGPU/CUDA.jl,https://api.github.com/repos/JuliaGPU/CUDA.jl
75,True,mullinix/cuda_linear_model_mc_bs,https://api.github.com/repos/mullinix/cuda_linear_model_mc_bs
76,True,galli-leo/cuda-lapse,https://api.github.com/repos/galli-leo/cuda-lapse
77,True,WilliamLewww/cuda_practice,https://api.github.com/repos/WilliamLewww/cuda_practice
78,True,ernestyalumni/HrdwCCppCUDA,https://api.github.com/repos/ernestyalumni/HrdwCCppCUDA
79,True,Selecao22/thomas_fermi_model_cuda,https://api.github.com/repos/Selecao22/thomas_fermi_model_cuda
80,True,Martins-Cudars/martins-cudars.github.io,https://api.github.com/repos/Martins-Cudars/martins-cudars.github.io
81,True,pan0sSt/cuda_efficient_algorithms,https://api.github.com/repos/pan0sSt/cuda_efficient_algorithms
82,True,sigrond/RayTracingCUDA_TJ,https://api.github.com/repos/sigrond/RayTracingCUDA_TJ
83,True,Dev-eloperr/cuda-performance-evaluation,https://api.github.com/repos/Dev-eloperr/cuda-performance-evaluation
84,True,prawarpoudel/cudaTutorials,https://api.github.com/repos/prawarpoudel/cudaTutorials
85,True,UnofficialJuliaMirror/CUDAapi.jl-3895d2a7-ec45-59b8-82bb-cfc6a382f9b3,https://api.github.com/repos/UnofficialJuliaMirror/CUDAapi.jl-3895d2a7-ec45-59b8-82bb-cfc6a382f9b3
86,True,Myslav488/CUDA_labs,https://api.github.com/repos/Myslav488/CUDA_labs
87,True,sss85255/Image-FT-CUDA_1D_twice,https://api.github.com/repos/sss85255/Image-FT-CUDA_1D_twice
90,True,cudawarped/opencv,https://api.github.com/repos/cudawarped/opencv
91,True,CudaText-addons/cuda_fmt,https://api.github.com/repos/CudaText-addons/cuda_fmt
92,True,Wyk951117/GoogLeNet_Inception-pure_CUDA-and-cudnn,https://api.github.com/repos/Wyk951117/GoogLeNet_Inception-pure_CUDA-and-cudnn
93,True,baracuda326/ilcarro,https://api.github.com/repos/baracuda326/ilcarro
94,True,LevidRodriguez/Sobel_with_OpenCV-CUDA,https://api.github.com/repos/LevidRodriguez/Sobel_with_OpenCV-CUDA
95,True,yangyang14641/cuda-samples,https://api.github.com/repos/yangyang14641/cuda-samples
96,True,Alexey-T/cuda_differ,https://api.github.com/repos/Alexey-T/cuda_differ
97,True,thomasfaingnaert/CUDAnative.jl,https://api.github.com/repos/thomasfaingnaert/CUDAnative.jl
98,True,tlambert-forks/cudaDecon,https://api.github.com/repos/tlambert-forks/cudaDecon
99,True,bheisler/RustaCUDA,https://api.github.com/repos/bheisler/RustaCUDA
101,True,myurtoglu/cudaforengineers,https://api.github.com/repos/myurtoglu/cudaforengineers
102,True,Unity-Technologies/barracuda-release,https://api.github.com/repos/Unity-Technologies/barracuda-release
104,True,kevin-albert/cuda-mergesort,https://api.github.com/repos/kevin-albert/cuda-mergesort
107,True,keithc-ca/cuda10,https://api.github.com/repos/keithc-ca/cuda10
108,True,WMF1997/cuda_study,https://api.github.com/repos/WMF1997/cuda_study
109,True,zzzDavid/CUDA-PatchMatch,https://api.github.com/repos/zzzDavid/CUDA-PatchMatch
110,True,dahburj/Barracuda-PoseNet,https://api.github.com/repos/dahburj/Barracuda-PoseNet
111,True,brian-team/brian2cuda,https://api.github.com/repos/brian-team/brian2cuda
112,True,EnsicoinDevs/cuda-miner,https://api.github.com/repos/EnsicoinDevs/cuda-miner
113,True,mechanator/XMR-STAK-CUDA-8-2.7.x,https://api.github.com/repos/mechanator/XMR-STAK-CUDA-8-2.7.x
114,True,Cuda-Chen/cuda-chen.github.io,https://api.github.com/repos/Cuda-Chen/cuda-chen.github.io
115,True,deepakbaby/cuda-installation-ubuntu1604,https://api.github.com/repos/deepakbaby/cuda-installation-ubuntu1604
116,True,cair/fast-tsetlin-machine-in-cuda-with-imdb-demo,https://api.github.com/repos/cair/fast-tsetlin-machine-in-cuda-with-imdb-demo
117,True,ahmed-elshamekh/ViolaJonesCUDA,https://api.github.com/repos/ahmed-elshamekh/ViolaJonesCUDA
118,True,schwarzschild-radius/CUDA_to_ISPC,https://api.github.com/repos/schwarzschild-radius/CUDA_to_ISPC
119,True,assemblyDruid/intro-to-CUDA,https://api.github.com/repos/assemblyDruid/intro-to-CUDA
120,True,Black-Phoenix/CUDA-SfM,https://api.github.com/repos/Black-Phoenix/CUDA-SfM
121,True,zichuan365/CUDA_Learning,https://api.github.com/repos/zichuan365/CUDA_Learning
122,True,facuellarg/cuda,https://api.github.com/repos/facuellarg/cuda
123,True,peterhj/libcuda,https://api.github.com/repos/peterhj/libcuda
124,True,christophmschaefer/miluphcuda,https://api.github.com/repos/christophmschaefer/miluphcuda
125,True,MauricePong/ffmpeg_qsv_cuda,https://api.github.com/repos/MauricePong/ffmpeg_qsv_cuda
126,True,CTTY/CUDA-Project-,https://api.github.com/repos/CTTY/CUDA-Project-
127,True,zhaofang0627/cuda-convnet-for-hashing,https://api.github.com/repos/zhaofang0627/cuda-convnet-for-hashing
128,True,PacktPublishing/Learn-CUDA-Programming,https://api.github.com/repos/PacktPublishing/Learn-CUDA-Programming
130,True,keatina3/cuda_radiator_fdiff,https://api.github.com/repos/keatina3/cuda_radiator_fdiff
131,True,catchchaos/CUDA-CNN,https://api.github.com/repos/catchchaos/CUDA-CNN
